statcode_21,num_votes_wijk_21,gm_code_21,RW_wijk_21,PVV_wijk_21
WK021403,3072,GM0214,0.23990885416666666,0.14388020833333334
WK021404,1049,GM0214,0.2650142993326978,0.17063870352716873
WK021405,5046,GM0214,0.23444312326595323,0.16210860087197781
WK021406,393,GM0214,0.21119592875318066,0.12213740458015267
WK021600,10784,GM0216,0.14493694362017803,0.0858679525222552
WK021601,7212,GM0216,0.16819190238491402,0.1028840820854132
WK022101,8128,GM0221,0.1860236220472441,0.11774114173228346
WK022201,8421,GM0222,0.12777579859874125,0.0798004987531172
WK022202,3330,GM0222,0.26666666666666666,0.17147147147147146
WK022203,1298,GM0222,0.25192604006163327,0.16024653312788906
WK022204,2383,GM0222,0.20184641208560639,0.1376416281997482
WK022205,303,GM0222,0.12871287128712872,0.056105610561056105
WK022206,7351,GM0222,0.18215208815127193,0.10610801251530404
WK022207,3724,GM0222,0.17937701396348013,0.10096670247046187
WK022209,2197,GM0222,0.19572143832498862,0.11925352753755121
WK022211,3232,GM0222,0.19956683168316833,0.12283415841584158
WK022231,3962,GM0222,0.22009086320040383,0.14033316506814741
WK022500,7661,GM0225,0.18274376713222817,0.12426576164991515
WK022501,1163,GM0225,0.1650902837489252,0.0937231298366294
WK022502,1027,GM0225,0.18111002921129504,0.11587147030185005
WK022503,967,GM0225,0.28852119958634953,0.20372285418821096
WK022504,996,GM0225,0.1606425702811245,0.0853413654618474
WK022603,6872,GM0226,0.19979627473806752,0.11961583236321303
WK022604,6671,GM0226,0.1780842452405936,0.11032828661370109
WK022605,1150,GM0226,0.17652173913043478,0.10173913043478261
WK022606,745,GM0226,0.17181208053691274,0.10067114093959731
WK022801,14228,GM0228,0.11962327804329491,0.07035423109361821
WK022802,6749,GM0228,0.1809156912135131,0.10342272929322863
WK022803,5803,GM0228,0.17042908840255042,0.08926417370325694
WK022804,2414,GM0228,0.1499585749792875,0.07207953603976802
WK022810,6685,GM0228,0.14854151084517578,0.07928197456993269
WK022811,1986,GM0228,0.18328298086606243,0.10926485397784491
WK022812,4297,GM0228,0.18268559460088435,0.09145915755178032
WK022813,685,GM0228,0.15328467153284672,0.06715328467153285
WK022820,975,GM0228,0.14051282051282052,0.06358974358974359
WK022830,7991,GM0228,0.11850832186209485,0.06244525090727068
WK022840,7044,GM0228,0.1797274275979557,0.0820556501987507
WK022850,2487,GM0228,0.14837153196622438,0.07639726578206675
WK022870,1857,GM0228,0.25471190091545504,0.15455035002692516
WK022880,1280,GM0228,0.15078125,0.06640625
WK022890,1377,GM0228,0.18663761801016704,0.09731299927378359
WK023001,8270,GM0230,0.16783555018137847,0.10241837968561064
WK023002,4151,GM0230,0.20284268850879306,0.12478920741989882
WK023003,2584,GM0230,0.14976780185758515,0.09404024767801858
WK023200,11944,GM0232,0.16644340254521098,0.10457133288680509
WK023201,1590,GM0232,0.2408805031446541,0.1490566037735849
WK023202,7191,GM0232,0.18217215964399944,0.10387984981226533
